Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2022-04-09,16:30,Fluminense,1.6,0–0,0.1,Santos,22855,Estadio Jornalista Mário Filho,Anderson Daronco,Match Report,
1,Sat,2022-04-09,19:00,Atl Goianiense,1.4,1–1,1.2,Flamengo,10496,Estádio Antônio Accioly,Braulio da Silva Machado,Match Report,
1,Sun,2022-04-10,11:00,Coritiba,1.7,3–0,0.4,Goiás,17788,Estádio Major Antônio Couto Pereira,Raphael Claus,Match Report,
1,Sun,2022-04-10,16:00,Atlético Mineiro,1.9,2–0,0.6,Internacional,37531,Estádio Governador Magalhães Pinto,Bruno Arleu de Araujo,Match Report,
1,Sun,2022-04-10,16:00,Botafogo (RJ),1.5,1–3,2.1,Corinthians,36898,Estádio Nilton Santos,Wilton Sampaio,Match Report,
1,Sun,2022-04-10,18:00,Fortaleza,1.4,0–1,0.4,Cuiabá,18279,Estádio Castelão,Felipe Fernandes de Lima,Match Report,
1,Sun,2022-04-10,19:00,Avaí,1.0,1–0,0.3,América (MG),5081,Estádio Aderbal Ramos da Silva,Luiz Flávio de Oliveira,Match Report,
1,Sun,2022-04-10,19:00,São Paulo,1.6,4–0,0.3,Atl Paranaense,20606,Estádio do Morumbi,Wagner do Nascimento Magalhães,Match Report,
1,Sat,2022-04-09,21:00,Palmeiras,2.5,2–3,1.5,Ceará,27100,Allianz Parque,Caio Max Augusto Vieira,Match Report,
1,Mon,2022-04-11,20:00,Juventude,1.5,2–2,1.0,Bragantino,3300,Estádio Alfredo Jaconi,Rodolpho Toski Marques,Match Report,
,,,,,,,,,,,,,
2,Sat,2022-04-16,16:30,Goiás,0.8,1–1,1.9,Palmeiras,12864,Estádio de Hailé Pinheiro,Braulio da Silva Machado,Match Report,
2,Sat,2022-04-16,19:00,América (MG),1.5,4–1,0.9,Juventude,1559,Estádio Raimundo Sampaio,Ramon Abatti Abel,Match Report,
2,Sat,2022-04-16,19:00,Corinthians,1.5,3–0,1.4,Avaí,30497,Neo Química Arena,Bruno Arleu de Araujo,Match Report,
2,Sun,2022-04-17,11:00,Santos,1.6,2–1,1.8,Coritiba,13051,Estádio Urbano Caldeira,Wagner do Nascimento Magalhães,Match Report,
2,Sun,2022-04-17,16:00,Flamengo,2.4,3–1,0.2,São Paulo,54686,Estadio Jornalista Mário Filho,Anderson Daronco,Match Report,
2,Sun,2022-04-17,18:00,Internacional,1.7,2–1,0.8,Fortaleza,31783,Estádio José Pinheiro Borba,Flavio Rodrigues De Souza,Match Report,
2,Sun,2022-04-17,18:00,Atl Paranaense,0.5,0–1,1.0,Atlético Mineiro,17305,Estádio Joaquim Américo Guimarães,Wilton Sampaio,Match Report,
2,Sun,2022-04-17,18:00,Bragantino,1.4,4–0,0.2,Atl Goianiense,2351,Estádio Nabi Abi Chedid,Paulo Roberto Alves Júnior,Match Report,
2,Sun,2022-04-17,19:00,Ceará,1.2,1–3,1.6,Botafogo (RJ),33734,Estádio Castelão,Raphael Claus,Match Report,
2,Sat,2022-04-16,20:00 (21:00),Cuiabá,0.2,0–1,0.7,Fluminense,10791,Arena Pantanal,Savio Pereira,Match Report,
,,,,,,,,,,,,,
4,Wed,2022-04-20,19:30,Flamengo,1.4,0–0,0.8,Palmeiras,69997,Estadio Jornalista Mário Filho,Wilton Sampaio,Match Report,
,,,,,,,,,,,,,
3,Sat,2022-04-23,16:30,Bragantino,2.0,1–1,2.0,São Paulo,8040,Estádio Nabi Abi Chedid,Bruno Arleu de Araujo,Match Report,
3,Sat,2022-04-23,16:30,Atl Paranaense,1.1,1–0,0.7,Flamengo,22659,Estádio Joaquim Américo Guimarães,Raphael Claus,Match Report,
3,Sat,2022-04-23,19:00,Fluminense,0.5,0–1,0.8,Internacional,16176,Estadio Jornalista Mário Filho,Braulio da Silva Machado,Match Report,
3,Sat,2022-04-23,19:00,Palmeiras,1.5,3–0,0.2,Corinthians,23973,Allianz Parque,Anderson Daronco,Match Report,
3,Sun,2022-04-24,16:00,Santos,2.2,3–0,0.9,América (MG),10374,Estádio Urbano Caldeira,Wilton Sampaio,Match Report,
3,Sun,2022-04-24,18:00,Juventude,1.8,0–1,1.5,Cuiabá,3920,Estádio Alfredo Jaconi,Paulo Roberto Alves Júnior,Match Report,
3,Sun,2022-04-24,18:30,Atl Goianiense,1.0,1–1,0.8,Botafogo (RJ),4427,Estádio Antônio Accioly,Luiz Flávio de Oliveira,Match Report,
3,Sat,2022-04-23,21:00,Atlético Mineiro,1.8,2–2,1.6,Coritiba,19974,Estádio Governador Magalhães Pinto,Savio Pereira,Match Report,
3,Mon,2022-04-25,20:00,Avaí,2.1,3–2,2.1,Goiás,5883,Estádio Aderbal Ramos da Silva,Antonio Dib Moraes de Sousa,Match Report,
,,,,,,,,,,,,,
4,Sat,2022-04-30,16:30,Ceará,0.7,0–1,1.2,Bragantino,23211,Estádio Castelão,Ramon Abatti Abel,Match Report,
4,Sat,2022-04-30,16:30,América (MG),0.5,1–0,1.1,Atl Paranaense,2433,Estádio Raimundo Sampaio,Jefferson Ferreira de Moraes,Match Report,
4,Sat,2022-04-30,18:00 (19:00),Cuiabá,2.4,1–1,1.2,Atl Goianiense,4517,Arena Pantanal,Douglas Marques das Flores,Match Report,
4,Sat,2022-04-30,18:30,Goiás,1.0,2–2,2.0,Atlético Mineiro,10165,Estádio de Hailé Pinheiro,Bruno Arleu de Araujo,Match Report,
4,Sun,2022-05-01,11:00,Botafogo (RJ),2.0,1–1,0.6,Juventude,34734,Estádio Nilton Santos,Braulio da Silva Machado,Match Report,
4,Sun,2022-05-01,16:00,Corinthians,0.6,1–0,0.9,Fortaleza,37018,Neo Química Arena,Savio Pereira,Match Report,
4,Sun,2022-05-01,16:00,Coritiba,3.3,3–2,0.6,Fluminense,24622,Estádio Major Antônio Couto Pereira,Raphael Claus,Match Report,
4,Sun,2022-05-01,19:00,Internacional,1.3,0–0,0.7,Avaí,20808,Estádio José Pinheiro Borba,Wilton Sampaio,Match Report,
4,Mon,2022-05-02,20:00,São Paulo,1.4,2–1,1.3,Santos,36746,Estádio do Morumbi,Leandro Pedro Vuaden,Match Report,
,,,,,,,,,,,,,
5,Sat,2022-05-07,16:30,Atlético Mineiro,2.5,1–2,2.0,América (MG),14629,Estádio Governador Magalhães Pinto,Wilton Sampaio,Match Report,
5,Sat,2022-05-07,20:30,Atl Paranaense,1.7,1–0,1.1,Ceará,22659,Estádio Joaquim Américo Guimarães,Leandro Pedro Vuaden,Match Report,
5,Sun,2022-05-08,11:00,Flamengo,1.7,0–1,0.8,Botafogo (RJ),54981,Estadio Jornalista Mário Filho,Anderson Daronco,Match Report,
5,Sun,2022-05-08,16:00,Atl Goianiense,2.4,0–1,0.9,Goiás,5431,Estádio Antônio Accioly,Wagner do Nascimento Magalhães,Match Report,
5,Sun,2022-05-08,16:00,Palmeiras,2.1,1–1,0.7,Fluminense,28776,Allianz Parque,Savio Pereira,Match Report,
5,Sun,2022-05-08,18:00,Bragantino,0.5,0–1,0.2,Corinthians,9993,Estádio Nabi Abi Chedid,Raphael Claus,Match Report,
5,Sun,2022-05-08,18:00,Santos,2.2,4–1,1.4,Cuiabá,7256,Estádio Urbano Caldeira,Braulio da Silva Machado,Match Report,
5,Sun,2022-05-08,19:00,Juventude,0.8,1–1,0.7,Internacional,7341,Estádio Alfredo Jaconi,Bruno Arleu de Araujo,Match Report,
5,Sun,2022-05-08,19:00,Fortaleza,0.7,1–1,0.3,São Paulo,25518,Estádio Castelão,Ramon Abatti Abel,Match Report,
5,Mon,2022-05-09,20:00,Avaí,2.2,2–1,1.0,Coritiba,8548,Estádio Aderbal Ramos da Silva,Jefferson Ferreira de Moraes,Match Report,
,,,,,,,,,,,,,
7,Wed,2022-05-11,20:30,Bragantino,0.8,1–1,0.9,Atlético Mineiro,5222,Estádio Nabi Abi Chedid,Braulio da Silva Machado,Match Report,
,,,,,,,,,,,,,
6,Sat,2022-05-14,16:30,Ceará,1.0,2–2,0.7,Flamengo,52139,Estádio Castelão,Luiz Flávio de Oliveira,Match Report,
6,Sat,2022-05-14,16:30,Palmeiras,1.8,2–0,0.4,Bragantino,36123,Allianz Parque,Flavio Rodrigues De Souza,Match Report,
6,Sat,2022-05-14,19:00,Atlético Mineiro,1.3,2–0,0.2,Atl Goianiense,20749,Estádio Raimundo Sampaio,Anderson Daronco,Match Report,
6,Sat,2022-05-14,19:00,Internacional,2.1,2–2,1.7,Corinthians,18482,Estádio José Pinheiro Borba,Braulio da Silva Machado,Match Report,
