Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Abner,br BRA,DF,Atl Paranaense,21,2000,28,25,2106,23.4,1,2,3,1,0,0,6,0,1.2,1.2,2.2,3.4,29,139,68,0.04,0.09,0.13,0.04,0.13,0.05,0.09,0.15,0.05,0.15,Matches,7f9c5d2d
2,Adryelson,br BRA,DF,Botafogo (RJ),23,1998,17,16,1446,16.1,0,0,0,0,0,0,1,0,1.2,1.2,0.3,1.6,3,20,2,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Matches,e980e78d
3,Adson,br BRA,FWMF,Corinthians,21,2000,25,13,1239,13.8,3,0,3,3,0,0,2,0,2.6,2.6,0.8,3.4,56,72,109,0.22,0.00,0.22,0.22,0.22,0.19,0.06,0.25,0.19,0.25,Matches,eda38706
4,Airton,br BRA,FW,Atl Goianiense,22,1999,33,22,1738,19.3,2,4,6,2,0,0,3,0,3.8,3.8,2.8,6.6,87,29,126,0.10,0.21,0.31,0.10,0.31,0.19,0.14,0.34,0.19,0.34,Matches,751ef075
5,Carlos Alberto,br BRA,FWMF,América (MG),19,2002,6,0,156,1.7,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,8,0,10,0.00,0.00,0.00,0.00,0.00,0.41,0.06,0.47,0.41,0.47,Matches,08f48d96
6,Yuri Alberto,br BRA,FW,Corinthians,20,2001,20,15,1453,16.1,8,1,9,8,0,0,4,1,5.9,5.9,1.6,7.5,28,29,115,0.50,0.06,0.56,0.50,0.56,0.36,0.10,0.46,0.36,0.46,Matches,65159211
7,Ale,br BRA,MF,América (MG),31,1990,28,24,1929,21.4,2,2,4,2,0,0,2,1,1.9,1.9,1.5,3.4,38,144,64,0.09,0.09,0.19,0.09,0.19,0.09,0.07,0.16,0.09,0.16,Matches,b7d9347d
8,Alexandre Alemão,br BRA,FW,Internacional,23,1998,34,22,2005,22.3,8,5,13,8,0,0,3,0,6.5,6.5,2.4,8.9,38,46,164,0.36,0.22,0.58,0.36,0.58,0.29,0.11,0.40,0.29,0.40,Matches,3ed2a79b
9,Alerrandro,br BRA,FW,Bragantino,22,2000,20,11,929,10.3,6,1,7,6,0,0,3,0,5.4,5.4,0.7,6.1,5,8,55,0.58,0.10,0.68,0.58,0.68,0.52,0.07,0.59,0.52,0.59,Matches,3415a44d
10,Alesson,br BRA,MFFW,Cuiabá,22,1999,21,11,1024,11.4,2,0,2,2,0,0,3,0,2.6,2.6,1.3,3.9,31,29,101,0.18,0.00,0.18,0.18,0.18,0.23,0.12,0.35,0.23,0.35,Matches,611e984e
11,Alex,br BRA,DF,Santos,22,1999,4,4,335,3.7,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,0,6,0,0.27,0.00,0.27,0.27,0.27,0.05,0.00,0.05,0.05,0.05,Matches,7367baf7
12,Caio Alexandre,br BRA,MF,Fortaleza,22,1999,12,11,994,11.0,1,0,1,1,0,0,3,1,0.8,0.8,0.4,1.1,28,69,16,0.09,0.00,0.09,0.09,0.09,0.07,0.03,0.10,0.07,0.10,Matches,08ac23b7
13,Matheus Alexandre,br BRA,DF,Coritiba,22,1999,21,16,1400,15.6,0,0,0,0,0,0,5,0,0.0,0.0,0.6,0.6,30,53,69,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,0212e748
14,Alexsander,br BRA,DF,Fluminense,18,2003,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,9,11,11,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07,Matches,b13e7a78
15,Alisson,br BRA,MFFW,São Paulo,28,1993,15,10,943,10.5,1,1,2,1,0,0,5,0,1.2,1.2,0.9,2.1,29,55,71,0.10,0.10,0.19,0.10,0.19,0.12,0.09,0.20,0.12,0.20,Matches,99139fa4
16,Allan,br BRA,MF,Atlético Mineiro,24,1997,33,31,2733,30.4,0,0,0,0,0,0,10,0,0.9,0.9,1.0,1.9,51,201,20,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches,b15e93aa
17,Guilherme Almeida Augusto,br BRA,DF,Bragantino,29,1993,2,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,2,3,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches,8eecd5f9
18,Henrique Almeida,br BRA,FW,América (MG),30,1991,28,21,1497,16.6,6,0,6,6,0,1,7,0,6.7,6.0,1.3,7.3,17,37,89,0.36,0.00,0.36,0.36,0.36,0.41,0.08,0.49,0.36,0.44,Matches,8aa2f2e3
19,Júnior Alonso,py PAR,DF,Atlético Mineiro,28,1993,31,30,2598,28.9,0,2,2,0,0,0,4,0,0.5,0.5,2.4,2.9,17,147,14,0.00,0.07,0.07,0.00,0.07,0.02,0.08,0.10,0.02,0.10,Matches,b18a3023
20,Diego Alves,br BRA,GK,Flamengo,36,1985,5,5,424,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,12421a7c
21,Felipe Alves Raymundo,br BRA,GK,São Paulo,33,1988,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7fbe8689
22,Felipe Alves Raymundo,br BRA,GK,Juventude,33,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7fbe8689
23,Rodrigo Alves Soares,br BRA,DF,Juventude,29,1992,35,32,2789,31.0,1,1,2,1,0,0,4,0,0.5,0.5,2.8,3.3,44,154,99,0.03,0.03,0.06,0.03,0.06,0.02,0.09,0.11,0.02,0.11,Matches,4c1b67d6
24,Anderson,br BRA,GK,Atl Paranaense,23,1998,5,5,450,5.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,29d862d4
25,Thonny Anderson,br BRA,MFFW,Coritiba,24,1997,18,7,729,8.1,0,1,1,0,0,0,5,2,1.0,1.0,1.2,2.2,20,55,45,0.00,0.12,0.12,0.00,0.12,0.13,0.15,0.27,0.13,0.27,Matches,7a7c9837
26,André,br BRA,MF,Fluminense,20,2001,34,34,3015,33.5,1,1,2,1,0,0,10,1,1.0,1.0,1.7,2.7,71,200,36,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08,Matches,ec604e2c
27,André,br BRA,FW,Cuiabá,31,1990,17,10,728,8.1,3,0,3,2,1,1,2,0,2.6,1.8,0.2,2.0,8,10,34,0.37,0.00,0.37,0.25,0.25,0.32,0.02,0.35,0.23,0.25,Matches,13b52dec
28,Andrey,br BRA,MF,Avaí,19,2002,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,89c28d9f
29,Brayan Angulo,ec ECU,FWMF,Santos,26,1995,16,5,479,5.3,2,1,3,2,0,0,0,0,2.9,2.9,0.8,3.8,1,9,25,0.38,0.19,0.56,0.38,0.56,0.55,0.16,0.71,0.55,0.71,Matches,37fdc62b
30,Apodi,br BRA,MFFW,Goiás,35,1986,18,10,908,10.1,1,1,2,1,0,0,3,0,1.6,1.6,0.4,2.0,17,3,41,0.10,0.10,0.20,0.10,0.20,0.16,0.04,0.20,0.16,0.20,Matches,affbe6bc
31,Guilherme Arana,br BRA,DF,Atlético Mineiro,24,1997,20,19,1721,19.1,0,3,3,0,0,0,4,0,1.6,1.6,3.8,5.4,60,141,110,0.00,0.16,0.16,0.00,0.16,0.08,0.20,0.28,0.08,0.28,Matches,2b15a82a
32,Willian Arão,br BRA,MFDF,Flamengo,29,1992,14,10,922,10.2,2,0,2,2,0,0,1,0,1.2,1.2,0.4,1.6,2,78,11,0.20,0.00,0.20,0.20,0.20,0.11,0.04,0.15,0.11,0.15,Matches,f47a530a
33,Michel Araujo,uy URU,FWMF,Fluminense,25,1996,8,0,83,0.9,2,3,5,2,0,0,1,0,0.8,0.8,0.8,1.6,6,6,9,2.17,3.25,5.42,2.17,5.42,0.88,0.86,1.74,0.88,1.74,Matches,1159e4ae
34,Robert Arboleda,ec ECU,DF,São Paulo,30,1991,8,8,720,8.0,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.7,1,18,2,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.08,0.07,0.08,Matches,269dbfc6
